sample code,measured cellulose d18O (‰),atmospheric water vapour d18O (‰),atmospheric water vapour d18O SD (‰),RH (%) ,RH SD (%) ,airT(°C) ,airT SD (°C) ,stomatal conductance (mol m-2 s-1),stomatal conductance SD (mol m-2 s-1),transpiration rate (mmol m-2 s-1),transpiration rate SD (mmol m-2 s-1)
RDMFE0100EW01,30.08796521,-13.073,0.027789,73.438,2.916432,17.611,0.316198,0.145,0.02041,2.85,0.3297
RDMFE0100EW02,26.61726349,-13.034,0.037052,66,3.541292,18.066,0.427982,0.145,0.02041,2.85,0.3297
RDMFE0100EW03,28.62235345,-13.083,0.045373,59.438,2.34401,18.597,0.62957,0.145,0.02041,2.85,0.3297
RDMFE0100EW04,29.74921282,-17.19,0.048827,62.5,2.23725,19.868,0.713722,0.145,0.02041,2.85,0.3297
RDMFE0100EW05,30.88221883,-17.211,0.039564,64.313,3.503612,21.583,0.468802,0.145,0.02041,2.85,0.3297
RDMFE0100EW06,31.28724178,-17.148,0.024649,57.412,2.071144,21.824,0.547616,0.145,0.02041,2.85,0.3297
RDMFE0100LW01,31.06033971,-11.692,0.087763,60.895,3.08348,20.763,0.983448,0.145,0.02041,2.85,0.3297
RDMFE0100LW02,30.8154682,-11.537,0.065312,61.211,3.165434,20.105,0.765846,0.145,0.02041,2.85,0.3297
RDMFE0100LW03,30.90929536,-10.088,0.262818,57.5,1.9625,21.389,0.533172,0.145,0.02041,2.85,0.3297
RDMFE0100LW04,31.195099,-9.6367,0.0531288,58,0.942,24.573,0.649038,0.145,0.02041,2.85,0.3297
RDMFE0100LW05,31.08768512,-9.894,0.075203,61.789,3.050824,21.699,0.866012,0.145,0.02041,2.85,0.3297
RDMFE0100LW06,30.95879057,-15.174,0.045844,59.947,2.484682,20.401,0.540394,0.145,0.02041,2.85,0.3297
RDMFE0100LW07,31.37564878,-15.358,0.049926,71.35,3.13215,18.172,0.88391,0.145,0.02041,2.85,0.3297
RDMFE0101EW01,31.30601986,-16.981,0.034697,78.143,3.250214,12.976,0.4553,0.145,0.02041,2.85,0.3297
RDMFE0101EW02,30.10090891,-16.761,0.07065,68.286,1.754946,15.563,0.78971,0.145,0.02041,2.85,0.3297
RDMFE0101EW04,31.1510493,-16.58,0.047414,64.714,2.64388,17.587,0.540708,0.145,0.02041,2.85,0.3297
RDMFE0101EW05,29.24075159,-16.418,0.049298,66.857,2.757862,19.46,0.575876,0.145,0.02041,2.85,0.3297
RDMFE0101EW06,29.53214759,-16.076,0.037366,58.571,1.267304,23.524,0.454358,0.145,0.02041,2.85,0.3297
RDMFE0101EW07,30.13834558,-10.787,0.071906,49.571,2.748442,19.706,1.0833,0.145,0.02041,2.85,0.3297
RDMFE0101EW08,30.39046498,-10.6,0.044902,61.571,5.374424,18.31,0.514018,0.145,0.02041,2.85,0.3297
RDMFE0101EW09,30.47333375,-10.57,0.05495,63.143,4.382498,18.659,0.637106,0.145,0.02041,2.85,0.3297
RDMFE0101EW10,30.6576243,-10.659,0.056363,60.714,3.048312,17.611,0.654219,0.145,0.02041,2.85,0.3297
RDMFE0101EW11,31.06351625,-10.204,0.073476,47.286,1.328534,22.992,0.873548,0.145,0.02041,2.85,0.3297
RDMFE0101EW12,30.58997665,-10.068,0.049141,50,2.295026,24.375,0.484188,0.145,0.02041,2.85,0.3297
RDMFE0101LW02,30.73548574,-13.255,0.079442,60.692,3.16198,21.111,0.93572,0.145,0.02041,2.85,0.3297
RDMFE0101LW03,30.48410325,-13.185,0.089176,59.583,1.84789,21.917,1.061791,0.145,0.02041,2.85,0.3297
RDMFE0101LW04,30.68255425,-12.796,0.108958,59.917,2.089042,25.324,0.526892,0.145,0.02041,2.85,0.3297
RDMFE0101LW05,30.68367305,-12.231,0.0628,55.615,2.930248,22.739,0.761764,0.145,0.02041,2.85,0.3297
RDMFE0101LW06,30.8361432,-12.264,0.03925,56.5,2.692864,22.329,0.470686,0.145,0.02041,2.85,0.3297
RDMFE0101LW07,30.82429842,-12.005,0.019939,56.583,2.258288,25.472,0.24649,0.145,0.02041,2.85,0.3297
RDMFE0101LW08,30.80463587,-15.301,0.079128,54,2.041,21.073,1.137308,0.145,0.02041,2.85,0.3297
RDMFE0101LW09,30.62438797,-15.561,0.04867,52,0.66725,17.611,0.560176,0.145,0.02041,2.85,0.3297
RDMFE0101LW09,30.47282269,-15.752,0.051496,60.5,2.198,15.454,0.572422,0.145,0.02041,2.85,0.3297
RDMFE0101LW10,27.82004063,-15.712,0.035168,75.692,3.87633,15.889,0.237698,0.145,0.02041,2.85,0.3297
RDMFE0102EW02,27.52705816,-14.189,0.064998,65.313,4.119366,16.854,0.731934,0.145,0.02041,2.85,0.3297
RDMFE0102EW03,28.44230171,-14.208,0.044902,57.5,1.76625,17.566,0.734446,0.145,0.02041,2.85,0.3297
RDMFE0102EW05,29.81196252,-20.172,0.104562,58.5,1.29525,21.545,1.229938,0.145,0.02041,2.85,0.3297
RDMFE0102EW06,30.97125683,-19.953,0.058875,54.294,2.266452,23.34,0.69551,0.145,0.02041,2.85,0.3297
RDMFE0102LW01,31.38730506,-18.262,0.036895,59.043,3.562016,21.266,0.443996,0.145,0.02041,2.85,0.3297
RDMFE0102LW02,31.74136924,-18.071,0.052438,62.304,3.106088,22.386,0.663168,0.145,0.02041,2.85,0.3297
RDMFE0102LW03,31.6145248,-12.378,0.074889,62.292,2.339614,22.15,0.765532,0.145,0.02041,2.85,0.3297
RDMFE0102LW04,31.51280081,-12.247,0.046001,65.565,3.559818,21.935,0.563316,0.145,0.02041,2.85,0.3297
RDMFE0102LW05,31.31706069,-16.194,0.038465,76.348,2.753152,19.029,0.666936,0.145,0.02041,2.85,0.3297
RDMFE0102LW06,29.18821857,-16.469,0.074261,72.542,2.891312,16.072,0.802584,0.145,0.02041,2.85,0.3297
RDMFE0103EW01,27.65861614,-14.333,0.220742,59.367,3.078142,17.465,0.683578,0.145,0.02041,2.85,0.3297
RDMFE0103EW02,29.01313716,-14.36,0.05181,60.033,2.61876,21.209,1.22146,0.145,0.02041,2.85,0.3297
RDMFE0103EW03,30.86016698,-14.271,0.040506,51.161,2.530526,25.113,0.674472,0.145,0.02041,2.85,0.3297
RDMFE0103LW01,30.67178733,-11.787,0.065155,46.923,2.634774,24.137,0.795048,0.145,0.02041,2.85,0.3297
RDMFE0103LW03,30.65369386,-11.493,0.033598,51.846,3.930024,25.692,0.416678,0.145,0.02041,2.85,0.3297
RDMFE0103LW04,31.01496567,-11.668,0.049612,43,1.884,26.868,0.867582,0.145,0.02041,2.85,0.3297
RDMFE0103LW05,30.94438893,-11.68,0.033598,40.5,2.7475,29.583,0.429552,0.145,0.02041,2.85,0.3297
RDMFE0103LW06,30.89024983,-11.982,0.03297,54.077,3.454942,25.761,0.40663,0.145,0.02041,2.85,0.3297
RDMFE0103LW07,31.01274694,-12.244,0.115395,46,2.826,22.556,1.190531,0.145,0.02041,2.85,0.3297
RDMFE0103LW08,31.26186163,-18.672,0.028574,60.692,4.492712,18.774,0.328758,0.145,0.02041,2.85,0.3297
RDMFE0103LW09,31.21149916,-18.653,0.023236,62.231,2.892568,18.991,0.267528,0.145,0.02041,2.85,0.3297
RDMFE0103LW10,30.52325888,-18.787,0.046472,73.286,4.128158,17.984,0.659714,0.145,0.02041,2.85,0.3297
RDMFE0104EW01,28.90492671,-11.524,0.093415,60,2.512,15.278,0.979366,0.145,0.02041,2.85,0.3297
RDMFE0104EW02,29.37794363,-11.427,0.098439,54.1,2.750326,19.569,0.641816,0.145,0.02041,2.85,0.3297
RDMFE0104EW03,30.5611954,-14.552,0.076145,50.774,3.177052,22.412,0.74889,0.145,0.02041,2.85,0.3297
RDMFE0104LW01,31.07547912,-10.685,0.048984,48.692,3.941328,22.739,0.683264,0.145,0.02041,2.85,0.3297
RDMFE0104LW02,30.92988644,-10.654,0.064056,47.5,1.727,22.115,0.768044,0.145,0.02041,2.85,0.3297
RDMFE0104LW03,30.77130628,-10.413,0.039564,48.923,1.894676,25.034,0.4867,0.145,0.02041,2.85,0.3297
RDMFE0104LW04,30.60184389,-10.581,0.076302,53.385,3.9853194,25.038,0.683892,0.145,0.02041,2.85,0.3297
RDMFE0104LW05,30.5435741,-10.601,0.077558,64.786,3.049882,23.595,0.471314,0.145,0.02041,2.85,0.3297
