sample code,measured cellulose d18O (‰),atmospheric water vapour d18O (‰),atmospheric water vapour d18O (‰) low,atmospheric water vapour d18O (‰) high,RH (%) ,RH (%) low,RH (%) high,airT(°C) ,airT(°C) low,airT (°C) high,P (Kpa) ,P (Kpa) low,P(Kpa) high,stomatal conductance (mol m-2 s-1),stomatal conductance (mol m-2 s-1) low,stomatal conductance (mol m-2 s-1) high,transpiration rate (mmol m-2 s-1),transpiration rate (mmol m-2 s-1) low,transpiration rate (mmol m-2 s-1) high
RDM_FC_FE_2000_EW_01,21.950,-13.068,-13.180,-12.988,67.533,56.367,78.699,17.406,15.331,19.481,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2000_EW_02,25.370,-13.230,-17.208,-13.039,62.000,56.000,69.000,19.373,17.107,21.639,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2000_EW_03,23.830,-17.194,-17.421,-17.098,57.500,55.000,66.750,21.778,19.111,22.764,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2000_LW_01,27.130,-11.416,-11.784,-11.186,57.000,52.000,65.000,21.097,18.708,23.486,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2000_LW_02,30.610,-9.868,-11.400,-9.636,58.500,54.000,66.000,22.569,19.856,25.282,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2000_LW_03,30.340,-15.260,-15.463,-15.001,65.319,54.929,75.709,19.091,15.787,22.395,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_EW_01,28.950,-16.560,-16.824,-16.409,67.933,57.913,77.953,16.035,13.313,18.757,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_EW_02,31.540,-15.923,-16.466,-10.548,60.226,49.109,71.343,19.475,16.713,22.237,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_EW_03,31.930,-10.488,-10.734,-10.178,56.000,47.000,61.500,21.333,18.486,24.472,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_LW_01,31.530,-12.912,-13.085,-12.066,55.957,47.503,64.411,24.333,22.556,25.278,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_LW_02,31.750,-12.293,-12.891,-12.057,54.000,51.000,63.000,23.222,20.819,25.458,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
RDM_FC_FE_2001_LW_03,31.510,-15.530,-15.727,-14.658,62.000,52.000,74.000,17.056,15.611,20.333,101.300,101.300,101.300,0.145,0.080,0.210,2.850,1.800,3.900
